         166700937 function calls (166700816 primitive calls) in 89.581 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       85    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      370    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        7    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       87    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  5444896    1.489    0.000    1.489    0.000 {method 'upper' of 'str' objects}
      162    1.083    0.007    1.083    0.007 {method 'write' of '_io.TextIOWrapper' objects}


