         166700937 function calls (166700816 primitive calls) in 89.581 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.000    0.000 apples_6_map.py:12(Input_Values)
        1    0.000    0.000    0.000    0.000 apples_6_map.py:13(__init__)
        1    0.000    0.000    0.000    0.000 apples_6_map.py:17(process_args)
        1    0.000    0.000   89.577   89.577 apples_6_map.py:21(main)
        1    0.000    0.000   89.581   89.581 apples_6_map.py:3(<module>)
        1    0.622    0.622   89.538   89.538 apples_6_map.py:32(process_data)
      162    0.001    0.000   87.809    0.542 apples_6_map.py:40(transform_message)
161249504   43.053    0.000   44.542    0.000 apples_6_map.py:44(<lambda>)
        1    0.000    0.000    0.028    0.028 apples_6_map.py:49(get_output_stream)
        1    0.000    0.000    0.001    0.001 apples_6_map.py:55(get_input_stream)
        1    0.000    0.000    0.009    0.009 apples_6_map.py:61(get_input_values)
        1    0.000    0.000    0.009    0.009 apples_6_map.py:69(create_args_parser)
        1    0.000    0.000    0.000    0.000 argparse.py:1018(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1041(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1043(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1060(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1088(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:115(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1179(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1190(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1245(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1252(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1265(_ActionsContainer)
        3    0.000    0.000    0.000    0.000 argparse.py:1267(__init__)
       37    0.000    0.000    0.000    0.000 argparse.py:1320(register)
        8    0.000    0.000    0.000    0.000 argparse.py:1324(_registry_get)
